902	400
352 361 64 63 703 712 173 174
25 26 362 353 121 122 713 704
353 362 363 354 704 713 714 705
354 363 364 355 705 714 715 706
355 364 365 356 706 715 716 707
356 365 366 357 707 716 717 708
357 366 367 358 708 717 718 709
358 367 368 359 709 718 719 710
359 368 369 360 710 719 720 711
360 369 370 361 711 720 721 712
361 370 65 64 712 721 172 173
26 27 371 362 122 123 722 713
362 371 372 363 713 722 723 714
363 372 373 364 714 723 724 715
364 373 374 365 715 724 725 716
365 374 375 366 716 725 726 717
366 375 376 367 717 726 727 718
367 376 377 368 718 727 728 719
368 377 378 369 719 728 729 720
369 378 379 370 720 729 730 721
370 379 66 65 721 730 171 172
27 28 380 371 123 124 731 722
371 380 381 372 722 731 732 723
372 381 382 373 723 732 733 724
373 382 383 374 724 733 734 725
374 383 384 375 725 734 735 726
375 384 385 376 726 735 736 727
376 385 386 377 727 736 737 728
377 386 387 378 728 737 738 729
378 387 388 379 729 738 739 730
379 388 67 66 730 739 170 171
28 29 389 380 124 125 740 731
380 389 390 381 731 740 741 732
381 390 391 382 732 741 742 733
382 391 392 383 733 742 743 734
383 392 393 384 734 743 744 735
384 393 394 385 735 744 745 736
385 394 395 386 736 745 746 737
386 395 396 387 737 746 747 738
387 396 397 388 738 747 748 739
388 397 68 67 739 748 169 170
29 30 398 389 125 126 749 740
389 398 399 390 740 749 750 741
390 399 400 391 741 750 751 742
391 400 401 392 742 751 752 743
392 401 402 393 743 752 753 744
393 402 403 394 744 753 754 745
394 403 404 395 745 754 755 746
395 404 405 396 746 755 756 747
396 405 406 397 747 756 757 748
397 406 69 68 748 757 168 169
30 31 407 398 126 127 758 749
398 407 408 399 749 758 759 750
399 408 409 400 750 759 760 751
400 409 410 401 751 760 761 752
401 410 411 402 752 761 762 753
402 411 412 403 753 762 763 754
403 412 413 404 754 763 764 755
404 413 414 405 755 764 765 756
405 414 415 406 756 765 766 757
406 415 70 69 757 766 167 168
31 32 416 407 127 128 767 758
407 416 417 408 758 767 768 759
408 417 418 409 759 768 769 760
409 418 419 410 760 769 770 761
410 419 420 411 761 770 771 762
411 420 421 412 762 771 772 763
412 421 422 413 763 772 773 764
413 422 423 414 764 773 774 765
414 423 424 415 765 774 775 766
415 424 71 70 766 775 166 167
32 33 425 416 128 129 776 767
416 425 426 417 767 776 777 768
417 426 427 418 768 777 778 769
418 427 428 419 769 778 779 770
419 428 429 420 770 779 780 771
420 429 430 421 771 780 781 772
421 430 431 422 772 781 782 773
422 431 432 423 773 782 783 774
423 432 433 424 774 783 784 775
424 433 72 71 775 784 165 166
33 34 434 425 129 130 785 776
425 434 435 426 776 785 786 777
426 435 436 427 777 786 787 778
427 436 437 428 778 787 788 779
428 437 438 429 779 788 789 780
429 438 439 430 780 789 790 781
430 439 440 431 781 790 791 782
431 440 441 432 782 791 792 783
432 441 442 433 783 792 793 784
433 442 73 72 784 793 164 165
34 35 443 434 130 131 794 785
434 443 444 435 785 794 795 786
435 444 445 436 786 795 796 787
436 445 446 437 787 796 797 788
437 446 447 438 788 797 798 789
438 447 448 439 789 798 799 790
439 448 449 440 790 799 800 791
440 449 450 441 791 800 801 792
441 450 451 442 792 801 802 793
442 451 74 73 793 802 163 164
35 36 452 443 131 132 803 794
443 452 453 444 794 803 804 795
444 453 454 445 795 804 805 796
445 454 455 446 796 805 806 797
446 455 456 447 797 806 807 798
447 456 457 448 798 807 808 799
